instance,related,sen_score,stem
service,unhappy,-0.75,unhappi
customer care,useless,-0.75,useless
service,useless customer,-0.75,useless custom
support,useless customer,-0.75,useless custom
resolve,useless,-0.75,useless
service,vary bad,-0.75,vary bad
service,ver bad,-0.75,ver bad
service,waste,-0.75,wast
payment,waste service,-0.75,waste servic
app,discontinue,-0.6,discontinu
app,discontinue subsidiary,-0.6,discontinue subsidiari
call,disconnect,-0.6,disconnect
call,disconnect agent,-0.6,disconnect ag
call,phone unanswered,-0.6,phone unansw
payment,concern,-0.6,concern
handling,concern,-0.6,concern
handling,concern customers,-0.6,concern custom
response,toll,-0.6,toll
payment,concern addressed,-0.6,concern address
resolve,issue disconnect,-0.6,issue disconnect
response,raised concerned,-0.6,raised concern
response,saying concerned,-0.6,saying concern
service,call disconnect,-0.6,call disconnect
response,completely disappointed,-0.6,completely disappoint
payment,concern related,-0.6,concern rel
response,concern,-0.6,concern
support,disappointed level,-0.6,disappointed level
app,discontinue using,-0.6,discontinue us
experience,hectic wahiyad,-0.6,hectic wahiyad
call,shivers thinking,-0.6,shivers think
payment,unsuccessful payment,-0.6,unsuccessful pay
payment,failed,-0.5,fail
app,unable,-0.5,unabl
experience,unable,-0.5,unabl
service,failed,-0.5,fail
payment,gateway failed,-0.5,gateway fail
service,failed notice,-0.5,failed notic
service,poor,-0.5,poor
app,even poorer,-0.5,even poor
app,failed,-0.5,fail
app,failed recognise,-0.5,failed recognis
app,full glitch,-0.5,full glitch
app,landed trouble,-0.5,landed troubl
app,mail unsafe,-0.5,mail unsaf
app,many lapse,-0.5,many laps
app,needs bug,-0.5,needs bug
app,poor,-0.5,poor
app,poor customer,-0.5,poor custom
app,sorry,-0.5,sorri
app,unable fetch,-0.5,unable fetch
app,unable find,-0.5,unable find
app,worst,-0.5,worst
app,worst app,-0.5,worst app
experience,painful,-0.5,pain
call,centre sad,-0.5,centre sad
call,inept,-0.5,inept
call,inept corelate,-0.5,inept corel
call,may missed,-0.5,may miss
support,fools,-0.5,fool
payment,fails,-0.5,fail
customer care,confused,-0.5,confus
support,clueless,-0.5,clueless
support,unable,-0.5,unabl
refund,headache,-0.5,headach
experience,guys dishonesty,-0.5,guys dishonesti
experience,loads problems,-0.5,loads problem
payment,unsuccessful,-0.5,unsuccess
handling,call inept,-0.5,call inept
interaction,neu frustrating,-0.5,neu frustr
interface,looks confusing,-0.5,looks confus
payment,worst,-0.5,worst
payment,failed also,-0.5,failed also
payment,failed bank,-0.5,failed bank
payment,failed end,-0.5,failed end
payment,failed frequently,-0.5,failed frequ
payment,failed make,-0.5,failed mak
payment,failed need,-0.5,failed ne
payment,failed never,-0.5,failed nev
payment,failed technical,-0.5,failed techn
payment,failures,-0.5,failur
payment,failures already,-0.5,failures alreadi
payment,feature missing,-0.5,feature miss
payment,got failed,-0.5,got fail
payment,processed split,-0.5,processed split
payment,still unable,-0.5,still un
payment,unsuccessful take,-0.5,unsuccessful tak
payment,worst first,-0.5,worst first
service,missed,-0.5,miss
response,missing,-0.5,miss
refund,headache just,-0.5,headache just
refund,supposed payback,-0.5,supposed payback
refund,transaction failed,-0.5,transaction fail
response,big mistake,-0.5,big mistak
response,missing query,-0.5,missing queri
response,poor,-0.5,poor
response,poor also,-0.5,poor also
service,always unable,-0.5,always un
service,app failed,-0.5,app fail
service,ever worst,-0.5,ever worst
service,missed interview,-0.5,missed interview
service,poor dispointed,-0.5,poor dispoint
service,unsatisfactory,-0.5,unsatisfactori
service,unsatisfactory coins,-0.5,unsatisfactory coin
support,clueless abt,-0.5,clueless abt
support,getting worst,-0.5,getting worst
support,people lie,-0.5,people li
update,turned lie,-0.5,turned li
service,worst,-0.5,worst
experience,worst,-0.5,worst
resolve,unable,-0.5,unabl
service,poor customer,-0.5,poor custom
support,poor customer,-0.5,poor custom
service,worst customer,-0.5,worst custom
resolve,experience unable,-0.5,experience un
communication,irresponsible,-0.5,irrespons
customer care,poor,-0.5,poor
response,strange email,-0.5,strange email
call,abruptly cut,-0.5,abruptly cut
service,also poor,-0.5,also poor
service,annoyed customer,-0.5,annoyed custom
app,app worst,-0.5,app worst
service,becouse worst,-0.5,becouse worst
call,bothered,-0.5,bother
update,bothered call,-0.5,bothered cal
resolve,chat unable,-0.5,chat un
customer care,confusing,-0.5,confus
payment,confusing mode,-0.5,confusing mod
resolve,csr unable,-0.5,csr unabl
payment,difficulty bill,-0.5,difficulty bil
service,disable chat,-0.5,disable chat
call,disconnected,-0.5,disconnect
service,discrimination,-0.5,discrimin
payment,doubts whether,-0.5,doubts wheth
resolve,executivewas unable,-0.5,executivewas un
experience,extremely poor,-0.5,extremely poor
payment,fails complete,-0.5,fails complet
payment,fault however,-0.5,fault howev
app,feature missing,-0.5,feature miss
service,frequently worst,-0.5,frequently worst
experience,frustrating,-0.5,frustrat
app,glitch,-0.5,glitch
payment,glitch every,-0.5,glitch everi
service,help poor,-0.5,help poor
app,hype,-0.5,hype
support,impossible reach,-0.5,impossible reach
experience,keep worst,-0.5,keep worst
service,know poor,-0.5,know poor
app,missing,-0.5,miss
service,missing customer,-0.5,missing custom
app,much hype,-0.5,much hyp
call,nobody bothered,-0.5,nobody both
service,nothing worst,-0.5,nothing worst
service,one worst,-0.5,one worst
app,painful neu,-0.5,painful neu
experience,poor app,-0.5,poor app
service,poor bot,-0.5,poor bot
response,poor customer,-0.5,poor custom
experience,poor,-0.5,poor
handling,poor,-0.5,poor
service,poor upi,-0.5,poor upi
app,problems integrations,-0.5,problems integr
experience,really painful,-0.5,really pain
service,really substandard,-0.5,really substandard
service,replies worst,-0.5,replies worst
payment,sad first,-0.5,sad first
app,sorry recommending,-0.5,sorry recommend
response,sorry say,-0.5,sorry sai
service,substandard,-0.5,substandard
app,technical glitch,-0.5,technical glitch
experience,total worst,-0.5,total worst
payment,trouble now,-0.5,trouble now
app,unable open,-0.5,unable open
service,v poor,-0.5,v poor
call,worst,-0.5,worst
customer care,worst,-0.5,worst
support,worst customer,-0.5,worst custom
app,worst ever,-0.5,worst ev
experience,worst ever,-0.5,worst ev
response,worst services,-0.5,worst servic
app,wrongly taken,-0.5,wrongly taken
service,yet.this poor,-0.5,yet.this poor
customer care,blocked,-0.4,block
service,stop,-0.4,stop
payment,fist,-0.4,fist
payment,friends fist,-0.4,friends fist
refund,procedure cancel,-0.35,procedure cancel
service,option cancel,-0.35,option cancel
app,slow,-0.25,slow
payment,stuck,-0.25,stuck
payment,stuck days,-0.25,stuck dai
app,hidden,-0.25,hidden
app,buggy slow,-0.25,buggy slow
app,full black,-0.25,full black
app,gets hang,-0.25,gets hang
app,hanging,-0.25,hang
app,hanging apparently,-0.25,hanging appar
app,hidden terms,-0.25,hidden term
app,ia slow,-0.25,ia slow
app,iphone slow,-0.25,iphone slow
app,name ram,-0.25,name ram
app,response slow,-0.25,response slow
response,slow,-0.25,slow
app,slow basket,-0.25,slow basket
app,slow need,-0.25,slow ne
app,slow sometimes,-0.25,slow sometim
app,slow user,-0.25,slow us
app,slow.and,-0.25,slow.and
experience,fire,-0.25,fire
service,late,-0.25,late
experience,fire chat,-0.25,fire chat
experience,unexpected,-0.25,unexpect
experience,unexpected tata,-0.25,unexpected tata
payment,got stuck,-0.25,got stuck
payment,process abruptly,-0.25,process abruptli
refund,amount hard,-0.25,amount hard
refund,stuck,-0.25,stuck
refund,stuck counting,-0.25,stuck count
response,also slow,-0.25,also slow
response,slow spend,-0.25,slow spend
response,time slow,-0.25,time slow
response,wait,-0.25,wait
response,wait hours,-0.25,wait hour
service,late reply,-0.25,late repli
service,representative lacks,-0.25,representative lack
support,slow,-0.25,slow
support,slow resloved,-0.25,slow reslov
call,cut,-0.25,cut
service,slow,-0.25,slow
refund,wait days,-0.25,wait dai
update,wait,-0.25,wait
response,asked wait,-0.25,asked wait
call,domestic,-0.25,domest
payment,late,-0.25,late
response,late,-0.25,late
app,latency issue,-0.25,latency issu
update,message wait,-0.25,message wait
call,migrated domestic,-0.25,migrated domest
payment,movement late,-0.25,movement l
app,recommend terrible,-0.25,recommend terr
app,slow response,-0.25,slow respons
update,time wait,-0.25,time wait
call,understand cut,-0.25,understand cut
customer care,wait,-0.25,wait
resolve,wait days,-0.25,wait dai
app,available disappointed,-0.2,available disappoint
call,problem resolved,-0.15,problem resolv
experience,bad delivery,-0.15,bad deliveri
experience,problem resolved,-0.15,problem resolv
service,seamless tired,-0.15,seamless tir
payment,status payment,-0.1,status pay
app,payment,-0.1,payment
payment,payment,-0.1,payment
app,got payment,-0.1,got pay
app,launch,-0.1,launch
app,launch many,-0.1,launch mani
app,made payment,-0.1,made pay
app,payment got,-0.1,payment got
app,payment page,-0.1,payment pag
app,tells payment,-0.1,tells pay
app,trying pay,-0.1,trying pai
purchase,pay,-0.1,pai
payment,fails credit,-0.1,fails credit
payment,payment history,-0.1,payment histori
payment,payment system,-0.1,payment system
payment,system payment,-0.1,system pay
payment,tata pay,-0.1,tata pai
purchase,date launch,-0.1,date launch
purchase,pay phone,-0.1,pay phon
purchase,weeks launch,-0.1,weeks launch
response,toll free,-0.1,toll fre
service,payment,-0.1,payment
payment,payment status,-0.1,payment statu
app,digital payment,-0.1,digital pay
app,expect poor,-0.1,expect poor
app,khicdi payment,-0.1,khicdi pay
app,pay,-0.1,pai
service,pay later,-0.1,pay lat
app,payment bigbasket,-0.1,payment bigbasket
refund,payment features,-0.1,payment featur
refund,payment filled,-0.1,payment fil
refund,payment gateway,-0.1,payment gatewai
response,payment,-0.1,payment
payment,points payment,-0.1,points pay
app,since launch,-0.1,since launch
app,tata pay,-0.1,tata pai
app,thanks poor,0.1,thanks poor
customer care,reading,0.1,read
response,co-operation,0.1,co-oper
response,co-operation sailesh,0.1,co-operation sailesh
app,offer applies,0.1,offer appli
service,offer total,0.1,offer tot
experience,resolved frustrating,0.1,resolved frustr
service,thanks poor,0.1,thanks poor
app,completely slow,0.15,completely slow
app,slow performance,0.15,slow perform
experience,put jitters.money,0.2,put jitters.monei
app,concern new,0.2,concern new
experience,false assurances,0.2,false assur
response,shared concern,0.2,shared concern
call,center,0.25,center
app,working,0.25,work
app,allow,0.25,allow
payment,system working,0.25,system work
payment,big,0.25,big
app,able purchase,0.25,able purchas
app,active,0.25,activ
app,active many,0.25,active mani
app,allow manually,0.25,allow manu
app,allow take,0.25,allow tak
app,need improvise,0.25,need improvis
app,needs work,0.25,needs work
app,still working,0.25,still work
app,u giving,0.25,u giv
app,used purchase,0.25,used purchas
app,working order,0.25,working ord
app,works,0.25,work
payment,worked,0.25,work
call,center employees,0.25,center employe
call,center idea,0.25,center idea
call,center many,0.25,center mani
call,center rep,0.25,center rep
service,reachable,0.25,reachabl
response,big,0.25,big
experience,big,0.25,big
experience,big basket,0.25,big basket
payment,working,0.25,work
payment,big basket,0.25,big basket
payment,page big,0.25,page big
payment,working upi,0.25,working upi
service,giving,0.25,give
service,chance,0.25,chanc
service,executive giving,0.25,executive giv
service,per expectation,0.25,per expect
service,reachable can,0.25,reachable can
support,support slow,0.25,support slow
app,work,0.25,work
payment,work,0.25,work
purchase,big,0.25,big
call,action,0.25,action
customer care,active,0.25,activ
update,allow manually,0.25,allow manu
payment,allow,0.25,allow
update,allow,0.25,allow
payment,attention,0.25,attent
service,big basket,0.25,big basket
call,boy neu,0.25,boy neu
app,bugs galore,0.25,bugs galor
resolve,care bothering,0.25,care both
service,deserve stars,0.25,deserve star
response,executive giving,0.25,executive giv
app,galore,0.25,galor
response,giving,0.25,give
response,join conversation,0.25,join convers
payment,just work,0.25,just work
payment,lot attention,0.25,lot attent
purchase,made big,0.25,made big
purchase,make big,0.25,make big
app,malfunctioning working,0.25,malfunctioning work
app,need work,0.25,need work
interface,need work,0.25,need work
call,now action,0.25,now act
payment,nue allow,0.25,nue allow
app,study competitors,0.25,study competitor
app,t work,0.25,t work
customer care,work,0.25,work
interface,work,0.25,work
resolve,work,0.25,work
app,working undercooked,0.25,working undercook
experience,unable resolve,0.3,unable resolv
service,payment management,0.3,payment manag
service,solve problems,0.3,solve problem
support,unable resolve,0.3,unable resolv
app,payment option,0.3,payment opt
response,reserve payment,0.3,reserve pay
update,building allow,0.35,building allow
response,including slow,0.35,including slow
payment,option,0.4,option
app,completely,0.4,complet
app,expect,0.4,expect
app,expect tata,0.4,expect tata
app,fully,0.4,fulli
app,fully constructing,0.4,fully construct
app,needs fully,0.4,needs fulli
app,option,0.4,option
app,performance,0.4,perform
app,performance promo,0.4,performance promo
experience,trending,0.4,trend
service,option,0.4,option
call,department finally,0.4,department fin
call,offers credit,0.4,offers credit
customer care,contact,0.4,contact
service,finally,0.4,final
experience,neucoins credited,0.4,neucoins credit
experience,trending neuuuuuuuu,0.4,trending neuuuuuuuu
support,unconditionally,0.4,uncondition
response,finally,0.4,final
refund,credited,0.4,credit
refund,cash,0.4,cash
payment,major,0.4,major
payment,major banks,0.4,major bank
payment,management,0.4,manag
payment,management got,0.4,management got
payment,option app,0.4,option app
payment,via credit,0.4,via credit
service,management,0.4,manag
refund,cash asap,0.4,cash asap
refund,procedure,0.4,procedur
resolve,points credit,0.4,points credit
resolve,query level,0.4,query level
response,finally closed,0.4,finally clos
response,mail completely,0.4,mail complet
service,executive talk,0.4,executive talk
service,finally completed,0.4,finally complet
service,levels continue,0.4,levels continu
service,management nev,0.4,management nev
service,representative information,0.4,representative inform
support,unconditionally buy,0.4,unconditionally bui
purchase,able continue,0.4,able continu
service,cash customer,0.4,cash custom
app,concept neu,0.4,concept neu
purchase,continue,0.4,continu
support,coordination different,0.4,coordination differ
payment,credit card,0.4,credit card
purchase,credit provisions,0.4,credit provis
customer care,credited,0.4,credit
purchase,credited,0.4,credit
purchase,exn-1007141161-20220404 credited,0.4,exn-1007141161-20220404 credit
payment,finally completed,0.4,finally complet
app,find information,0.4,find inform
app,information,0.4,inform
communication,information,0.4,inform
support,level,0.4,level
app,manage,0.4,manag
payment,marchent reserve,0.4,marchent reserv
service,option book,0.4,option book
purchase,option online,0.4,option onlin
app,referral option,0.4,referral opt
payment,reserve,0.4,reserv
app,shopping bigbasket,0.4,shopping bigbasket
experience,shopping,0.4,shop
customer care,talk,0.4,talk
service,talk customer,0.4,talk custom
app,team manage,0.4,team manag
experience,thats shopping,0.4,thats shop
app,like,0.5,like
app,thank,0.5,thank
communication,customer support,0.5,customer support
customer care,helping,0.5,help
customer care,support,0.5,support
experience,thank,0.5,thank
experience,thank tata,0.5,thank tata
service,solution,0.5,solut
service,solution one,0.5,solution on
customer care,dear,0.5,dear
app,amazed,0.5,amaz
app,amazed way,0.5,amazed wai
app,best,0.5,best
app,best loan,0.5,best loan
app,clearly,0.5,clearli
app,clearly mention,0.5,clearly ment
app,give accurate,0.5,give accur
app,great,0.5,great
app,great feature,0.5,great featur
app,like amazon,0.5,like amazon
app,like bb,0.5,like bb
app,like google,0.5,like googl
app,like paytm,0.5,like paytm
app,look like,0.5,look lik
app,recommended,0.5,recommend
app,thank look,0.5,thank look
app,try increase,0.5,try increas
app,usefull kind,0.5,usefull kind
app,wise,0.5,wise
app,wise iwill,0.5,wise iwil
call,backs like,0.5,backs lik
call,clarity,0.5,clariti
call,clarity couldnâ,0.5,clarity couldnâ
call,like,0.5,like
call,like ok,0.5,like ok
call,quality great,0.5,quality great
call,timely,0.5,time
call,timely resolution,0.5,timely resolut
service,like,0.5,like
support,support,0.5,support
customer care,clear,0.5,clear
handling,ability,0.5,abil
experience,never recommend,0.5,never recommend
experience,nice,0.5,nice
experience,nice app,0.5,nice app
experience,smooth payment,0.5,smooth pay
experience,wanted clear,0.5,wanted clear
service,best,0.5,best
interaction,customer support,0.5,customer support
interface,good slow,0.5,good slow
interface,hope,0.5,hope
interface,hope still,0.5,hope stil
interface,using like,0.5,using lik
update,best,0.5,best
response,great,0.5,great
payment,like,0.5,like
payment,like individual,0.5,like individu
payment,made clear,0.5,made clear
payment,worked fine,0.5,worked fin
response,clear,0.5,clear
response,support,0.5,support
update,support,0.5,support
purchase,platform hope,0.5,platform hop
resolve,help support.it,0.5,help support.it
response,chat support,0.5,chat support
response,clear issue,0.5,clear issu
response,expected admired,0.5,expected admir
response,great now,0.5,great now
response,nobody interested,0.5,nobody interest
response,recommended,0.5,recommend
service,best app's,0.5,best app'
service,brand like,0.5,brand lik
service,customer support,0.5,customer support
service,like ones,0.5,like on
service,representative polite,0.5,representative polit
update,app wise,0.5,app wis
update,nothing support,0.5,nothing support
response,proper,0.5,proper
app,nice,0.5,nice
service,nice,0.5,nice
experience,great,0.5,great
service,kind customer,0.5,kind custom
customer care,best,0.5,best
response,give proper,0.5,give prop
service,great,0.5,great
support,proper,0.5,proper
app,recommend,0.5,recommend
support,thank,0.5,thank
call,acceptable voice,0.5,acceptable voic
customer care,agree,0.5,agre
service,amazing customer,0.5,amazing custom
experience,amazing,0.5,amaz
app,beneficial,0.5,benefici
app,came wise,0.5,came wis
payment,citizen comfortable,0.5,citizen comfort
payment,comfortable,0.5,comfort
call,commitment happening,0.5,commitment happen
app,confirmed receiver,0.5,confirmed receiv
support,contacted support,0.5,contacted support
resolve,customer support,0.5,customer support
update,dear team,0.5,dear team
experience,dedicated gamified,0.5,dedicated gamifi
app,employee recommended,0.5,employee recommend
call,empty promise,0.5,empty promis
app,experience nice,0.5,experience nic
interaction,free,0.5,free
update,free needs,0.5,free ne
app,friends.other wise,0.5,friends.other wis
update,get proactive,0.5,get proact
support,get thank,0.5,get thank
update,getting proper,0.5,getting prop
app,getting verified,0.5,getting verifi
support,give proper,0.5,give prop
response,got solution,0.5,got solut
customer care,great,0.5,great
app,great use,0.5,great us
app,helping lot,0.5,helping lot
app,highly impressed,0.5,highly impress
service,hope current,0.5,hope curr
resolve,hope team,0.5,hope team
app,impressed,0.5,impress
service,impressed,0.5,impress
call,impressed service,0.5,impressed servic
resolve,interested,0.5,interest
app,just recommended,0.5,just recommend
support,kind,0.5,kind
call,kindly arrange,0.5,kindly arrang
resolve,kindly,0.5,kindli
experience,like hear,0.5,like hear
app,like individual,0.5,like individu
support,name proper,0.5,name prop
app,never recommend,0.5,never recommend
behaviour,nice,0.5,nice
support,nice customer,0.5,nice custom
interface,nice,0.5,nice
experience,nice overall,0.5,nice overal
support,nice,0.5,nice
resolve,nobody interested,0.5,nobody interest
service,polite,0.5,polit
interface,polite website,0.5,polite websit
response,possible thank,0.5,possible thank
update,proactive,0.5,proactiv
support,proper response,0.5,proper respons
update,proper,0.5,proper
support,proper update,0.5,proper upd
app,reach support,0.5,reach support
service,really best,0.5,really best
app,really like,0.5,really lik
support,really nice,0.5,really nic
app,recommend feel,0.5,recommend feel
app,share order,0.5,share ord
app,share screenshot,0.5,share screenshot
response,solution advised,0.5,solution advis
customer care,solution,0.5,solut
response,solution,0.5,solut
payment,successfully unsuccessful,0.5,successfully unsuccess
app,support,0.5,support
update,support feedback,0.5,support feedback
resolve,support,0.5,support
service,support,0.5,support
resolve,support suggested,0.5,support suggest
response,thank,0.5,thank
service,time best,0.5,time best
customer care,TRUE,0.5,TRUE
app,use recommend,0.5,use recommend
app,verified,0.5,verifi
app,slow.and cashback,0.55,slow.and cashback
call,received,0.6,receiv
call,received customer,0.6,received custom
app,thanks,0.6,thank
call,receptive,0.6,recept
call,receiving,0.6,receiv
call,receiving call,0.6,receiving cal
call,receptive asked,0.6,receptive ask
app,even usable,0.6,even us
app,experience smooth,0.6,experience smooth
experience,smooth,0.6,smooth
app,found,0.6,found
app,found accessibility,0.6,found access
app,however received,0.6,however receiv
app,matches legacy,0.6,matches legaci
app,needs smooth,0.6,needs smooth
app,one resolved,0.6,one resolv
app,seems integrated,0.6,seems integr
app,service faster,0.6,service fast
service,faster,0.6,faster
app,simply awesome,0.6,simply awesom
app,ticket resolved,0.6,ticket resolv
experience,thanks,0.6,thank
experience,received,0.6,receiv
experience,resolved,0.6,resolv
call,looking forward,0.6,looking forward
call,query resolved,0.6,query resolv
service,seamless,0.6,seamless
communication,regarding delivery,0.6,regarding deliveri
customer care,found,0.6,found
customer care,received,0.6,receiv
service,awesome,0.6,awesom
update,received,0.6,receiv
experience,resolved single,0.6,resolved singl
experience,still received,0.6,still receiv
experience,thanks regards,0.6,thanks regard
payment,received,0.6,receiv
payment,gateway streamlined,0.6,gateway streamlin
payment,reaching beneficiary,0.6,reaching beneficiari
payment,received info.staff,0.6,received info.staff
refund,resolved,0.6,resolv
update,correct,0.6,correct
response,resolving,0.6,resolv
response,received,0.6,receiv
refund,received,0.6,receiv
refund,received after5,0.6,received after5
refund,resolved customer,0.6,resolved custom
response,received understand,0.6,received understand
response,resolving issues,0.6,resolving issu
response,simply awesome,0.6,simply awesom
service,awesome keep,0.6,awesome keep
service,received,0.6,receiv
service,received neither,0.6,received neith
service,representative delivery,0.6,representative deliveri
service,tell straight,0.6,tell straight
support,executive found,0.6,executive found
support,executive resolved,0.6,executive resolv
support,minimum knowledge,0.6,minimum knowledg
update,correct details,0.6,correct detail
update,features forward,0.6,features forward
update,received also,0.6,received also
customer care,resolved,0.6,resolv
call,call receiving,0.6,call receiv
service,delivery,0.6,deliveri
response,prompt,0.6,prompt
service,received customer,0.6,received custom
call,resolved,0.6,resolv
payment,smooth,0.6,smooth
support,thanks,0.6,thank
support,app thanks,0.6,app thank
app,awesome,0.6,awesom
call,baby,0.6,babi
resolve,capability,0.6,capabl
refund,dated received,0.6,dated receiv
service,delivery aggregation,0.6,delivery aggreg
communication,delivery,0.6,deliveri
support,delivery customer,0.6,delivery custom
response,delivery issues,0.6,delivery issu
app,digital joke,0.6,digital jok
app,disatisfied wit,0.6,disatisfied wit
call,discretion,0.6,discret
payment,experience smooth,0.6,experience smooth
app,faster,0.6,faster
refund,forward,0.6,forward
payment,found,0.6,found
communication,informed received,0.6,informed receiv
call,issue resolved,0.6,issue resolv
app,joke,0.6,joke
app,keep promoting,0.6,keep promot
app,knowledge queries,0.6,knowledge queri
